"PlayerName","pos","points","marg","value"
"Adrian Peterson","rb",201.42,74.095,77.6298034776215
"Antonio Brown","wr",146.74,71.81,75.2666332104461
"Cam Newton","qb",330.632,71.262,74.699886030397
"Todd Gurley","rb",198.005,70.68,74.0979757041405
"Aaron Rodgers","qb",325.986,66.616,69.8949455221706
"Odell Beckham Jr.","wr",138.855,63.925,67.1118859208712
"Jamaal Charles","rb",190.29,62.965,66.1190441456028
"Russell Wilson","qb",317.156,57.786,60.762869610066
"Julio Jones","wr",132.535,57.605,60.5756775670205
"David Johnson","rb",183.78,56.455,59.3863358570635
"Lamar Miller","rb",181.915,54.59,57.4575338665681
"Rob Gronkowski","te",114.95,54.305,57.1627839645352
"DeAndre Hopkins","wr",128.56,53.63,56.4646920912996
"Ezekiel Elliott","rb",172.825,45.5,48.0565633069948
"Dez Bryant","wr",120.155,45.225,47.7721555067877
"Le'Veon Bell","rb",170.18,42.855,45.3210773740937
"Andrew Luck","qb",301.58,42.21,44.6540118063351
"A.J. Green","wr",116.775,41.845,44.2765250896966
"Jordy Nelson","wr",114.615,39.685,42.0426310953426
"Eddie Lacy","rb",164.77,37.445,39.7260002863828
"LeSean McCoy","rb",164.065,36.74,38.9968821076701
"Devonta Freeman","rb",162.295,34.97,37.1663300845188
"Doug Martin","rb",161.83,34.505,36.6854223496232
"Allen Robinson","wr",109.28,34.35,36.5251197713246
"Alshon Jeffery","wr",108.915,33.985,36.1476330546861
"Drew Brees","qb",293.022,33.652,35.8032410638898
"Mark Ingram","rb",160.26,32.935,35.0617123629862
"Thomas Rawls","rb",158.4,31.075,33.1380814234036
"Brandon Marshall","wr",105.195,30.265,32.3003711755208
"Sammy Watkins","wr",104.38,29.45,31.4574898767252
"Mike Evans","wr",103.93,29,30.9920952945681
"T.Y. Hilton","wr",103.875,28.945,30.9352137345267
"Brandin Cooks","wr",103.055,28.125,30.0871613848182
"Randall Cobb","wr",100.625,25.695,27.5740306411699
"Greg Olsen","te",86.065,25.42,27.2896228409628
"Jordan Reed","te",84.965,24.32,26.1519916401343
"Demaryius Thomas","wr",98.515,23.585,25.3918471559444
"Keenan Allen","wr",98.33,23.4,25.2005182721687
"C.J. Anderson","rb",150.68,23.355,25.153978813953
"Amari Cooper","wr",97.015,22.085,23.8405318820875
"Ben Roethlisberger","qb",281.088,21.718,23.4609767450838
"Doug Baldwin","wr",95.07,20.14,21.8289930769863
"Kelvin Benjamin","wr",94.98,20.05,21.7359141605548
"Eric Decker","wr",94.74,19.81,21.4877037167377
"Jeremy Maclin","wr",94.075,19.145,20.7999539453278
"Stephen Gostkowski","k",154,18.9,20.5465724505978
"Carlos Hyde","rb",145.47,18.145,19.7657437627565
"Jonathan Stewart","rb",144.01,16.685,18.2557968962024
"Latavius Murray","rb",143.575,16.25,17.8059154667838
"Michael Floyd","wr",90.74,15.81,17.3508629864525
"Julian Edelman","wr",89.285,14.355,15.8460871708112
"Carson Palmer","qb",273.608,14.238,15.7250845794504
"Jarvis Landry","wr",88.405,13.475,14.9359822101485
"Justin Tucker","k",148.3,13.2,14.6515744099414
"Larry Fitzgerald","wr",87.635,12.705,14.1396403695685
"Jeremy Hill","rb",139.83,12.505,13.9327983330543
"Mason Crosby","k",147.2,12.1,13.5139432091129
"Delanie Walker","te",72.665,12.02,13.4312063945072
"Golden Tate","wr",86.89,11.96,13.3691537835529
"Blake Bortles","qb",271.198,11.828,13.2326380394535
"Steven Hauschka","k",146.6,11.5,12.8934170995701
"Jordan Matthews","wr",86.43,11.5,12.8934170995701
"Matt Forte","rb",138.575,11.25,12.6348645539273
"Coby Fleener","te",71.69,11.045,12.4228514665002
"DeMarco Murray","rb",138.03,10.705,12.0712200044259
"Travis Kelce","te",71.16,10.515,11.8747200697374
"DeSean Jackson","wr",84.675,9.74499999999999,11.0783782291574
"Graham Gano","k",144.4,9.30000000000001,10.6181546979132
"Tyrod Taylor","qb",267.618,8.24799999999999,9.53016558584819
"Chris Boswell","k",143.3,8.20000000000002,9.48052349708479
"Donte Moncrief","wr",82.625,7.69500000000001,8.95824735488627
"Tyler Eifert","te",68.155,7.51,8.76691847111057
"Dan Bailey","k",142.5,7.40000000000001,8.65315535102773
"Antonio Gates","te",67.815,7.16999999999999,8.41528700903632
"John Brown","wr",81.965,7.035,8.27566863438919
"Josh Brown","k",141.9,6.80000000000001,8.03262924148495
"Emmanuel Sanders","wr",81.545,6.61499999999998,7.84130035770922
"Gary Barnidge","te",66.94,6.29499999999999,7.51035309928642
"Philip Rivers","qb",265.624,6.25400000000002,7.46795048180102
"Chandler Catanzaro","k",141.3,6.20000000000002,7.41210313194216
"Eli Manning","qb",265.39,6.01999999999998,7.22594529907929
"Matt Jones","rb",133.11,5.78499999999998,6.98290590617503
"Blair Walsh","k",140.8,5.70000000000002,6.89499804065651
"Allen Hurns","wr",80.5,5.56999999999999,6.76055071692221
"Ladarius Green","te",64.93,4.285,5.43159063231808
"Michael Crabtree","wr",78.87,3.94,5.07478811933098
"Devante Parker","wr",78.865,3.93499999999999,5.06961706841811
"Brandon McManus","k",138.3,3.20000000000002,4.30947258422822
"Jimmy Graham","te",63.495,2.84999999999999,3.94749902032824
"Ryan Mathews","rb",129.865,2.53999999999998,3.62689386373111
"Jeremy Langford","rb",128.92,1.59500000000001,2.64956524120126
"Andy Dalton","qb",259.37,0,1
"Adam Vinatieri","k",135.1,0,1
"Frank Gore","rb",127.325,0,1
"Stefon Diggs","wr",74.93,0,1
"Jason Witten","te",60.645,0,1
