"PlayerName","pos","points","marg","value"
"Stephen Gostkowski","k",154,154,51.8806121917814
"Justin Tucker","k",148.3,148.3,49.9973687535142
"Mason Crosby","k",147.2,147.2,49.6339358092872
"Steven Hauschka","k",146.6,146.6,49.4356996578906
"Graham Gano","k",144.4,144.4,48.7088337694366
"Chris Boswell","k",143.3,143.3,48.3454008252096
"Dan Bailey","k",142.5,142.5,48.0810859566809
"Josh Brown","k",141.9,141.9,47.8828498052843
"Chandler Catanzaro","k",141.3,141.3,47.6846136538878
"Blair Walsh","k",140.8,140.8,47.5194168610573
"Brandon McManus","k",138.3,138.3,46.693432896905
"Adam Vinatieri","k",135.1,135.1,45.6361734227901
"Robbie Gould","k",134.7,134.7,45.5040159885257
"Cairo Santos","k",134.3,134.3,45.3718585542613
"Mike Nugent","k",133.7,133.7,45.1736224028648
"Matt Prater","k",130.5,130.5,44.1163629287499
"Dan Carpenter","k",130.3,130.3,44.0502842116177
"Nick Novak","k",129.2,129.2,43.6868512673907
"Nick Folk","k",127.1,127.1,42.9930247375027
"Matt Bryant","k",126.8,126.8,42.8939066618045
"Dustin Hopkins","k",126.1,126.1,42.6626311518418
"Sebastian Janikowski","k",125.1,125.1,42.3322375661809
"Jason Myers","k",123.9,123.9,41.9357652633878
"Roberto Aguayo","k",121.3,121.3,41.0767419406694
"Josh Lambo","k",120.9,120.9,40.944584506405
"Phil Dawson","k",119.9,119.9,40.6141909207441
"Greg Zuerlein","k",117.9,117.9,39.9534037494223
"Travis Coons","k",115.7,115.7,39.2265378609683
"Andrew Franks","k",115.1,115.1,39.0283017095717
"Caleb Sturgis","k",111,111,37.6736880083619
"Cody Parkey","k",108.3,108.3,36.7816253270775
"Ryan Succop","k",106.8,106.8,36.2860349485861
"Kai Forbath","k",102,102,34.7001457374137
"Cam Newton","qb",330.632,94.148,32.1058953028041
"Aaron Rodgers","qb",325.986,89.502,30.5708867038235
"Shaun Suisham","k",89,89,30.4050291238217
"Russell Wilson","qb",317.156,80.672,27.6535113424376
"Adrian Peterson","rb",201.42,74.095,25.4805127295457
"Antonio Brown","wr",146.74,71.81,24.7255633863106
"Todd Gurley","rb",198.005,70.68,24.3522186345137
"Andrew Luck","qb",301.58,65.096,22.5073008521831
"Odell Beckham Jr.","wr",138.855,63.925,22.1204099633742
"Jamaal Charles","rb",190.29,62.965,21.8032321211397
"Julio Jones","wr",132.535,57.605,20.0323225019972
"Drew Brees","qb",293.022,56.538,19.679792546097
"David Johnson","rb",183.78,56.455,19.6523698784871
"Lamar Miller","rb",181.915,54.59,19.0361858412295
"Rob Gronkowski","te",114.95,54.305,18.9420236693162
"DeAndre Hopkins","wr",128.56,53.63,18.7190079989951
"Ezekiel Elliott","rb",172.825,45.5,16.0329081475718
"Dez Bryant","wr",120.155,45.225,15.942049911515
"Ben Roethlisberger","qb",281.088,44.604,15.7368754948196
"Le'Veon Bell","rb",170.18,42.855,15.1590171134987
"A.J. Green","wr",116.775,41.845,14.8253195919811
"Connor Barth","k",41,41,14.5461370120977
"Jordy Nelson","wr",114.615,39.685,14.1116694469535
"Eddie Lacy","rb",164.77,37.445,13.3715878150731
"Carson Palmer","qb",273.608,37.124,13.2655314740759
"LeSean McCoy","rb",164.065,36.74,13.1386603371821
"Devonta Freeman","rb",162.295,34.97,12.5538636905623
"Blake Bortles","qb",271.198,34.714,12.4692829326331
"Doug Martin","rb",161.83,34.505,12.40023067323
"Allen Robinson","wr",109.28,34.35,12.3490196674525
"Alshon Jeffery","wr",108.915,33.985,12.2284260086863
"Mark Ingram","rb",160.26,32.935,11.8815127437423
"Tyrod Taylor","qb",267.618,31.134,11.286473895967
"Thomas Rawls","rb",158.4,31.075,11.266980674413
"Brandon Marshall","wr",105.195,30.265,10.9993618700277
"Sammy Watkins","wr",104.38,29.45,10.730091097714
"Philip Rivers","qb",265.624,29.14,10.6276690861592
"Mike Evans","wr",103.93,29,10.5814139841666
"T.Y. Hilton","wr",103.875,28.945,10.5632423369553
"Eli Manning","qb",265.39,28.906,10.5503569871145
"Brandin Cooks","wr",103.055,28.125,10.2923195967133
"Randall Cobb","wr",100.625,25.695,9.4894631835573
"Greg Olsen","te",86.065,25.42,9.39860494750054
"Jordan Reed","te",84.965,24.32,9.03517200327353
"Demaryius Thomas","wr",98.515,23.585,8.79233271781276
"Keenan Allen","wr",98.33,23.4,8.73120990446549
"C.J. Anderson","rb",150.68,23.355,8.71634219311075
"Andy Dalton","qb",259.37,22.886,8.56138760143578
"Amari Cooper","wr",97.015,22.085,8.29674233932138
"Kirk Cousins","qb",258.508,22.024,8.27658833059606
